NAME,GEO_ID,households,CountyFIPS,Annual Median Household Income,Annual Transportation Cost,Annual Housing Cost,Annual Housing and Transportation Cost,Transportation Cost as % of Annual Median Household Income,Housing Cost as % of Annual Median Household Income,Housing and Transportation Cost as % of Annual Median Household Income,'Discretionary Spending': Median Annual Household Income Minus Housing and Transportation Costs,Year
Block Group 1; Census Tract 409.04; Rutherford County; Tennessee,471490409041,810.0,149.0,76645.0,15115.0,15012.0,30127.0,19.7207906582295,19.586404853545567,39.30719551177507,46518.0,2020
Block Group 1; Census Tract 414.01; Rutherford County; Tennessee,471490414011,1055.0,149.0,63475.0,13070.0,14364.0,27434.0,20.59078377313903,22.629381646317448,43.22016541945648,36041.0,2020
Block Group 2; Census Tract 403.07; Rutherford County; Tennessee,471490403072,586.0,149.0,122143.0,16570.0,19428.0,35998.0,13.566066004601165,15.905946308834725,29.47201231343589,86145.0,2020
Block Group 1; Census Tract 403.11; Rutherford County; Tennessee,471490403111,508.0,149.0,110920.0,14043.0,17244.0,31287.0,12.660476018752254,15.546339704291382,28.206815723043636,79633.0,2020
Block Group 2; Census Tract 410; Rutherford County; Tennessee,471490410002,736.0,149.0,150481.0,15985.0,24216.0,40201.0,10.622603518052113,16.09239704680325,26.715000564855362,110280.0,2020
Block Group 2; Census Tract 414.01; Rutherford County; Tennessee,471490414012,1030.0,149.0,99700.0,13451.0,23712.0,37163.0,13.491474423269809,23.78335005015045,37.27482447342026,62537.0,2020
Block Group 2; Census Tract 423.01; Rutherford County; Tennessee,471490423012,647.0,149.0,71490.0,15991.0,16896.0,32887.0,22.368163379493637,23.634074695761644,46.00223807525528,38603.0,2020
Block Group 1; Census Tract 413.02; Rutherford County; Tennessee,471490413021,1117.0,149.0,121190.0,14638.0,17364.0,32002.0,12.07855433616635,14.327914844459114,26.406469180625464,89188.0,2020
Block Group 1; Census Tract 413.01; Rutherford County; Tennessee,471490413011,716.0,149.0,169769.0,15619.0,28452.0,44071.0,9.200148436993798,16.759243442560184,25.959391879553984,125698.0,2020
Block Group 3; Census Tract 407.03; Rutherford County; Tennessee,471490407033,959.0,149.0,82680.0,14073.0,12852.0,26925.0,17.021044992743107,15.544267053701017,32.56531204644412,55755.0,2020
Block Group 2; Census Tract 411.02; Rutherford County; Tennessee,471490411022,664.0,149.0,58795.0,15379.0,12360.0,27739.0,26.156986138277066,21.022195764946,47.17918190322306,31056.0,2020
Block Group 2; Census Tract 408.09; Rutherford County; Tennessee,471490408092,359.0,149.0,79527.0,16382.0,13740.0,30122.0,20.599293321764936,17.277151156211097,37.87644447797604,49405.0,2020
Block Group 3; Census Tract 407.02; Rutherford County; Tennessee,471490407023,844.0,149.0,85667.0,16309.0,14388.0,30697.0,19.03766911412796,16.79526538807242,35.83293450220038,54970.0,2020
